age,job,marital,education,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y,y_binary,cluster,cluster_label
57,technician,divorced,secondary,63,yes,no,unknown,may,242,1,-1,0,unknown,no,0,1,Mass Market
25,blue-collar,married,secondary,-7,yes,no,unknown,may,365,1,-1,0,unknown,no,0,1,Mass Market
53,technician,married,secondary,-3,no,no,unknown,may,1666,1,-1,0,unknown,no,0,1,Mass Market
36,admin.,divorced,secondary,506,yes,no,unknown,may,577,1,-1,0,unknown,no,0,1,Mass Market
37,admin.,single,secondary,0,yes,no,unknown,may,137,1,-1,0,unknown,no,0,1,Mass Market
44,services,divorced,secondary,2586,yes,no,unknown,may,160,1,-1,0,unknown,no,0,1,Mass Market
50,management,married,secondary,49,yes,no,unknown,may,180,2,-1,0,unknown,no,0,1,Mass Market
60,blue-collar,married,unknown,104,yes,no,unknown,may,22,1,-1,0,unknown,no,0,1,Mass Market
54,retired,married,secondary,529,yes,no,unknown,may,1492,1,-1,0,unknown,no,0,1,Mass Market
58,retired,married,unknown,96,yes,no,unknown,may,616,1,-1,0,unknown,no,0,1,Mass Market
36,admin.,single,primary,-171,yes,no,unknown,may,242,1,-1,0,unknown,no,0,1,Mass Market
58,self-employed,married,tertiary,-364,yes,no,unknown,may,355,1,-1,0,unknown,no,0,1,Mass Market
44,technician,married,secondary,0,yes,no,unknown,may,225,2,-1,0,unknown,no,0,1,Mass Market
55,technician,divorced,secondary,0,no,no,unknown,may,160,1,-1,0,unknown,no,0,1,Mass Market
29,management,single,tertiary,0,yes,no,unknown,may,363,1,-1,0,unknown,no,0,1,Mass Market
54,blue-collar,married,secondary,1291,yes,no,unknown,may,266,1,-1,0,unknown,no,0,1,Mass Market
48,management,divorced,tertiary,-244,yes,no,unknown,may,253,1,-1,0,unknown,no,0,1,Mass Market
32,management,married,tertiary,0,yes,no,unknown,may,179,1,-1,0,unknown,no,0,1,Mass Market
42,admin.,single,secondary,-76,yes,no,unknown,may,787,1,-1,0,unknown,no,0,1,Mass Market
24,technician,single,secondary,-103,yes,yes,unknown,may,145,1,-1,0,unknown,no,0,1,Mass Market
38,entrepreneur,single,tertiary,243,no,yes,unknown,may,174,1,-1,0,unknown,no,0,1,Mass Market
38,management,single,tertiary,424,yes,no,unknown,may,104,1,-1,0,unknown,no,0,1,Mass Market
47,blue-collar,married,unknown,306,yes,no,unknown,may,13,1,-1,0,unknown,no,0,1,Mass Market
40,blue-collar,single,unknown,24,yes,no,unknown,may,185,1,-1,0,unknown,no,0,1,Mass Market
46,services,married,primary,179,yes,no,unknown,may,1778,1,-1,0,unknown,no,0,1,Mass Market
32,admin.,married,tertiary,0,yes,no,unknown,may,138,1,-1,0,unknown,no,0,1,Mass Market
53,technician,divorced,secondary,989,yes,no,unknown,may,812,1,-1,0,unknown,no,0,1,Mass Market
57,blue-collar,married,primary,249,yes,no,unknown,may,164,1,-1,0,unknown,no,0,1,Mass Market
33,services,married,secondary,790,yes,no,unknown,may,391,1,-1,0,unknown,no,0,1,Mass Market
49,blue-collar,married,unknown,154,yes,no,unknown,may,357,1,-1,0,unknown,no,0,1,Mass Market
51,management,married,tertiary,6530,yes,no,unknown,may,91,1,-1,0,unknown,no,0,1,Mass Market
60,retired,married,tertiary,100,no,no,unknown,may,528,1,-1,0,unknown,no,0,1,Mass Market
59,management,divorced,tertiary,59,yes,no,unknown,may,273,1,-1,0,unknown,no,0,1,Mass Market
55,technician,married,secondary,1205,yes,no,unknown,may,158,2,-1,0,unknown,no,0,1,Mass Market
35,blue-collar,single,secondary,12223,yes,yes,unknown,may,177,1,-1,0,unknown,no,0,1,Mass Market
57,blue-collar,married,secondary,5935,yes,yes,unknown,may,258,1,-1,0,unknown,no,0,1,Mass Market
31,services,married,secondary,25,yes,yes,unknown,may,172,1,-1,0,unknown,no,0,1,Mass Market
54,management,married,secondary,282,yes,yes,unknown,may,154,1,-1,0,unknown,no,0,1,Mass Market
55,blue-collar,married,primary,23,yes,no,unknown,may,291,1,-1,0,unknown,no,0,1,Mass Market
43,technician,married,secondary,1937,yes,no,unknown,may,181,1,-1,0,unknown,no,0,1,Mass Market
53,technician,married,secondary,384,yes,no,unknown,may,176,1,-1,0,unknown,no,0,1,Mass Market
44,blue-collar,married,secondary,582,no,yes,unknown,may,211,1,-1,0,unknown,no,0,1,Mass Market
55,services,divorced,secondary,91,no,no,unknown,may,349,1,-1,0,unknown,no,0,1,Mass Market
49,services,divorced,secondary,0,yes,yes,unknown,may,272,1,-1,0,unknown,no,0,1,Mass Market
55,services,divorced,secondary,1,yes,no,unknown,may,208,1,-1,0,unknown,no,0,1,Mass Market
45,admin.,single,secondary,206,yes,no,unknown,may,193,1,-1,0,unknown,no,0,1,Mass Market
47,services,divorced,secondary,164,no,no,unknown,may,212,1,-1,0,unknown,no,0,1,Mass Market
42,technician,single,secondary,690,yes,no,unknown,may,20,1,-1,0,unknown,no,0,1,Mass Market
59,admin.,married,secondary,2343,yes,no,unknown,may,1042,1,-1,0,unknown,yes,1,1,Mass Market
46,self-employed,married,tertiary,137,yes,yes,unknown,may,246,1,-1,0,unknown,no,0,1,Mass Market
51,blue-collar,married,primary,173,yes,no,unknown,may,529,2,-1,0,unknown,no,0,1,Mass Market
56,admin.,married,secondary,45,no,no,unknown,may,1467,1,-1,0,unknown,yes,1,1,Mass Market
41,technician,married,secondary,1270,yes,no,unknown,may,1389,1,-1,0,unknown,yes,1,1,Mass Market
46,management,divorced,secondary,16,yes,yes,unknown,may,188,2,-1,0,unknown,no,0,1,Mass Market
57,retired,married,secondary,486,yes,no,unknown,may,180,2,-1,0,unknown,no,0,1,Mass Market
42,management,single,secondary,50,no,no,unknown,may,48,1,-1,0,unknown,no,0,1,Mass Market
30,technician,married,secondary,152,yes,yes,unknown,may,213,2,-1,0,unknown,no,0,1,Mass Market
60,admin.,married,secondary,290,yes,no,unknown,may,583,1,-1,0,unknown,no,0,1,Mass Market
60,blue-collar,married,unknown,54,yes,no,unknown,may,221,1,-1,0,unknown,no,0,1,Mass Market
57,entrepreneur,divorced,secondary,-37,no,no,unknown,may,173,1,-1,0,unknown,no,0,1,Mass Market
36,management,married,tertiary,101,yes,yes,unknown,may,426,1,-1,0,unknown,no,0,1,Mass Market
55,blue-collar,married,secondary,383,no,no,unknown,may,287,1,-1,0,unknown,no,0,1,Mass Market
60,retired,married,tertiary,81,yes,no,unknown,may,101,1,-1,0,unknown,no,0,1,Mass Market
39,technician,married,secondary,0,yes,no,unknown,may,203,1,-1,0,unknown,no,0,1,Mass Market
46,management,married,tertiary,229,yes,no,unknown,may,197,1,-1,0,unknown,no,0,1,Mass Market
44,blue-collar,married,secondary,-674,yes,no,unknown,may,257,1,-1,0,unknown,no,0,1,Mass Market
53,blue-collar,married,primary,90,no,no,unknown,may,124,1,-1,0,unknown,no,0,1,Mass Market
52,blue-collar,married,primary,128,yes,no,unknown,may,229,1,-1,0,unknown,no,0,1,Mass Market
59,blue-collar,married,primary,179,yes,no,unknown,may,55,3,-1,0,unknown,no,0,1,Mass Market
27,technician,single,tertiary,0,yes,no,unknown,may,400,1,-1,0,unknown,no,0,1,Mass Market
44,blue-collar,married,secondary,54,yes,no,unknown,may,197,1,-1,0,unknown,no,0,1,Mass Market
47,technician,married,tertiary,151,yes,no,unknown,may,190,1,-1,0,unknown,no,0,1,Mass Market
34,admin.,married,secondary,61,no,yes,unknown,may,21,1,-1,0,unknown,no,0,1,Mass Market
59,retired,single,secondary,30,yes,no,unknown,may,514,1,-1,0,unknown,no,0,1,Mass Market
45,management,married,tertiary,523,yes,no,unknown,may,849,2,-1,0,unknown,no,0,1,Mass Market
29,services,divorced,secondary,31,yes,no,unknown,may,194,1,-1,0,unknown,no,0,1,Mass Market
46,technician,divorced,secondary,79,no,no,unknown,may,144,1,-1,0,unknown,no,0,1,Mass Market
56,self-employed,married,primary,-34,yes,yes,unknown,may,212,2,-1,0,unknown,no,0,1,Mass Market
36,blue-collar,married,primary,448,yes,no,unknown,may,286,1,-1,0,unknown,no,0,1,Mass Market
59,retired,divorced,primary,81,yes,no,unknown,may,107,1,-1,0,unknown,no,0,1,Mass Market
44,blue-collar,married,secondary,144,yes,no,unknown,may,247,2,-1,0,unknown,no,0,1,Mass Market
41,admin.,married,secondary,351,yes,no,unknown,may,518,1,-1,0,unknown,no,0,1,Mass Market
33,management,single,tertiary,-67,yes,no,unknown,may,364,1,-1,0,unknown,no,0,1,Mass Market
59,management,divorced,tertiary,262,no,no,unknown,may,178,1,-1,0,unknown,no,0,1,Mass Market
57,technician,married,primary,0,no,no,unknown,may,98,1,-1,0,unknown,no,0,1,Mass Market
56,technician,divorced,unknown,56,yes,no,unknown,may,439,1,-1,0,unknown,no,0,1,Mass Market
51,blue-collar,married,secondary,26,yes,no,unknown,may,79,1,-1,0,unknown,no,0,1,Mass Market
34,admin.,married,unknown,3,yes,no,unknown,may,120,3,-1,0,unknown,no,0,1,Mass Market
43,services,married,secondary,41,yes,yes,unknown,may,127,2,-1,0,unknown,no,0,1,Mass Market
52,technician,married,tertiary,7,no,yes,unknown,may,175,1,-1,0,unknown,no,0,1,Mass Market
33,technician,single,secondary,105,yes,no,unknown,may,262,2,-1,0,unknown,no,0,1,Mass Market
29,admin.,single,secondary,818,yes,yes,unknown,may,61,1,-1,0,unknown,no,0,1,Mass Market
34,services,married,secondary,-16,yes,yes,unknown,may,78,1,-1,0,unknown,no,0,1,Mass Market
31,blue-collar,married,secondary,0,yes,no,unknown,may,143,1,-1,0,unknown,no,0,1,Mass Market
55,services,married,secondary,2476,yes,no,unknown,may,579,1,-1,0,unknown,yes,1,1,Mass Market
55,management,married,unknown,1185,no,no,unknown,may,677,1,-1,0,unknown,no,0,1,Mass Market
32,admin.,single,secondary,217,yes,no,unknown,may,345,1,-1,0,unknown,no,0,1,Mass Market
38,technician,single,secondary,1685,yes,no,unknown,may,185,1,-1,0,unknown,no,0,1,Mass Market
55,admin.,single,secondary,802,yes,yes,unknown,may,100,2,-1,0,unknown,no,0,1,Mass Market
28,unemployed,single,tertiary,0,yes,no,unknown,may,125,2,-1,0,unknown,no,0,1,Mass Market
23,blue-collar,married,secondary,94,yes,no,unknown,may,193,1,-1,0,unknown,no,0,1,Mass Market
32,technician,single,secondary,0,yes,no,unknown,may,136,1,-1,0,unknown,no,0,1,Mass Market
43,services,single,unknown,0,no,no,unknown,may,73,1,-1,0,unknown,no,0,1,Mass Market
32,blue-collar,married,secondary,517,yes,no,unknown,may,528,1,-1,0,unknown,no,0,1,Mass Market
46,blue-collar,married,secondary,265,yes,no,unknown,may,541,1,-1,0,unknown,no,0,1,Mass Market
53,housemaid,divorced,primary,947,yes,no,unknown,may,163,1,-1,0,unknown,no,0,1,Mass Market
34,self-employed,single,secondary,3,yes,no,unknown,may,301,1,-1,0,unknown,no,0,1,Mass Market
57,unemployed,married,tertiary,42,no,no,unknown,may,46,1,-1,0,unknown,no,0,1,Mass Market
37,blue-collar,married,secondary,37,yes,no,unknown,may,204,1,-1,0,unknown,no,0,1,Mass Market
59,blue-collar,married,secondary,57,yes,no,unknown,may,98,1,-1,0,unknown,no,0,1,Mass Market
33,services,married,secondary,22,yes,no,unknown,may,71,1,-1,0,unknown,no,0,1,Mass Market
56,blue-collar,divorced,primary,8,yes,no,unknown,may,157,2,-1,0,unknown,no,0,1,Mass Market
48,unemployed,married,secondary,293,yes,no,unknown,may,243,1,-1,0,unknown,no,0,1,Mass Market
43,services,married,primary,3,yes,no,unknown,may,186,2,-1,0,unknown,no,0,1,Mass Market
54,blue-collar,married,primary,348,yes,no,unknown,may,579,2,-1,0,unknown,no,0,1,Mass Market
51,blue-collar,married,unknown,-19,yes,no,unknown,may,163,2,-1,0,unknown,no,0,1,Mass Market
26,student,single,secondary,0,yes,no,unknown,may,610,2,-1,0,unknown,no,0,1,Mass Market
40,management,married,tertiary,-4,yes,no,unknown,may,2033,1,-1,0,unknown,no,0,1,Mass Market
39,management,married,secondary,18,yes,no,unknown,may,85,1,-1,0,unknown,no,0,1,Mass Market
50,technician,married,primary,139,no,no,unknown,may,114,2,-1,0,unknown,no,0,1,Mass Market
41,services,married,secondary,0,yes,no,unknown,may,114,2,-1,0,unknown,no,0,1,Mass Market
51,blue-collar,married,unknown,1883,yes,no,unknown,may,57,1,-1,0,unknown,no,0,1,Mass Market
60,retired,divorced,secondary,216,yes,no,unknown,may,238,1,-1,0,unknown,no,0,1,Mass Market
52,blue-collar,married,secondary,782,yes,no,unknown,may,93,3,-1,0,unknown,no,0,1,Mass Market
48,blue-collar,married,secondary,904,yes,no,unknown,may,128,2,-1,0,unknown,no,0,1,Mass Market
48,services,married,unknown,1705,yes,no,unknown,may,107,1,-1,0,unknown,no,0,1,Mass Market
39,technician,single,tertiary,47,yes,no,unknown,may,181,1,-1,0,unknown,no,0,1,Mass Market
47,services,single,secondary,176,yes,no,unknown,may,303,2,-1,0,unknown,no,0,1,Mass Market
40,blue-collar,married,secondary,1225,yes,no,unknown,may,558,5,-1,0,unknown,no,0,1,Mass Market
45,technician,married,secondary,86,yes,no,unknown,may,270,1,-1,0,unknown,no,0,1,Mass Market
26,admin.,single,secondary,82,yes,no,unknown,may,228,1,-1,0,unknown,no,0,1,Mass Market
52,management,married,tertiary,271,yes,no,unknown,may,99,1,-1,0,unknown,no,0,1,Mass Market
54,technician,married,secondary,1378,yes,no,unknown,may,240,1,-1,0,unknown,no,0,1,Mass Market
54,admin.,married,tertiary,184,no,no,unknown,may,673,2,-1,0,unknown,yes,1,1,Mass Market
50,blue-collar,married,primary,0,no,no,unknown,may,233,3,-1,0,unknown,no,0,1,Mass Market
35,blue-collar,married,secondary,0,yes,no,unknown,may,1056,1,-1,0,unknown,no,0,1,Mass Market
44,services,married,secondary,1357,yes,yes,unknown,may,250,1,-1,0,unknown,no,0,1,Mass Market
53,entrepreneur,married,unknown,19,yes,no,unknown,may,252,1,-1,0,unknown,no,0,1,Mass Market
35,retired,single,primary,434,no,no,unknown,may,138,1,-1,0,unknown,no,0,1,Mass Market
60,admin.,divorced,secondary,92,yes,no,unknown,may,130,1,-1,0,unknown,no,0,1,Mass Market
53,admin.,divorced,secondary,1151,yes,no,unknown,may,412,1,-1,0,unknown,no,0,1,Mass Market
48,unemployed,married,secondary,41,yes,no,unknown,may,179,2,-1,0,unknown,no,0,1,Mass Market
34,technician,married,secondary,51,yes,no,unknown,may,19,2,-1,0,unknown,no,0,1,Mass Market
54,services,married,secondary,214,yes,no,unknown,may,458,2,-1,0,unknown,no,0,1,Mass Market
51,management,married,secondary,1161,yes,no,unknown,may,717,1,-1,0,unknown,no,0,1,Mass Market
31,services,married,tertiary,37,yes,no,unknown,may,313,1,-1,0,unknown,no,0,1,Mass Market
35,technician,divorced,secondary,787,yes,no,unknown,may,683,2,-1,0,unknown,no,0,1,Mass Market
35,services,married,secondary,59,yes,no,unknown,may,1077,1,-1,0,unknown,no,0,1,Mass Market
38,technician,married,secondary,253,yes,no,unknown,may,416,1,-1,0,unknown,no,0,1,Mass Market
36,admin.,married,tertiary,211,yes,no,unknown,may,146,2,-1,0,unknown,no,0,1,Mass Market
58,retired,married,primary,235,yes,no,unknown,may,167,1,-1,0,unknown,no,0,1,Mass Market
40,services,divorced,unknown,4384,yes,no,unknown,may,315,1,-1,0,unknown,no,0,1,Mass Market
54,management,married,secondary,4080,no,no,unknown,may,140,1,-1,0,unknown,no,0,1,Mass Market
34,blue-collar,single,secondary,53,yes,yes,unknown,may,346,1,-1,0,unknown,no,0,1,Mass Market
31,management,single,tertiary,0,yes,no,unknown,may,562,1,-1,0,unknown,no,0,1,Mass Market
51,retired,married,secondary,2127,yes,no,unknown,may,172,1,-1,0,unknown,no,0,1,Mass Market
33,management,married,tertiary,377,yes,no,unknown,may,217,1,-1,0,unknown,no,0,1,Mass Market
55,management,married,tertiary,73,yes,no,unknown,may,142,2,-1,0,unknown,no,0,1,Mass Market
42,admin.,married,secondary,445,yes,no,unknown,may,67,1,-1,0,unknown,no,0,1,Mass Market
34,blue-collar,married,secondary,243,yes,no,unknown,may,291,1,-1,0,unknown,no,0,1,Mass Market
33,blue-collar,single,secondary,307,yes,no,unknown,may,309,2,-1,0,unknown,no,0,1,Mass Market
38,services,married,secondary,155,yes,no,unknown,may,248,1,-1,0,unknown,no,0,1,Mass Market
50,technician,divorced,tertiary,173,no,yes,unknown,may,98,1,-1,0,unknown,no,0,1,Mass Market
43,management,married,tertiary,400,yes,no,unknown,may,256,1,-1,0,unknown,no,0,1,Mass Market
61,blue-collar,divorced,primary,1428,yes,no,unknown,may,82,2,-1,0,unknown,no,0,1,Mass Market
47,admin.,married,secondary,219,yes,no,unknown,may,577,1,-1,0,unknown,no,0,1,Mass Market
48,self-employed,married,tertiary,7,yes,no,unknown,may,286,1,-1,0,unknown,no,0,1,Mass Market
44,blue-collar,married,secondary,575,yes,no,unknown,may,477,1,-1,0,unknown,no,0,1,Mass Market
35,student,single,unknown,298,yes,no,unknown,may,611,2,-1,0,unknown,no,0,1,Mass Market
35,services,married,secondary,0,yes,no,unknown,may,471,1,-1,0,unknown,no,0,1,Mass Market
50,services,married,secondary,5699,yes,no,unknown,may,381,2,-1,0,unknown,no,0,1,Mass Market
41,management,married,tertiary,176,yes,yes,unknown,may,42,1,-1,0,unknown,no,0,1,Mass Market
41,management,married,tertiary,517,yes,no,unknown,may,251,1,-1,0,unknown,no,0,1,Mass Market
39,services,single,unknown,257,yes,no,unknown,may,408,1,-1,0,unknown,no,0,1,Mass Market
42,retired,married,secondary,56,yes,no,unknown,may,215,1,-1,0,unknown,no,0,1,Mass Market
38,blue-collar,married,secondary,-390,yes,no,unknown,may,287,1,-1,0,unknown,no,0,1,Mass Market
53,retired,married,secondary,330,yes,no,unknown,may,216,2,-1,0,unknown,no,0,1,Mass Market
59,housemaid,divorced,primary,195,no,no,unknown,may,366,2,-1,0,unknown,no,0,1,Mass Market
36,services,married,secondary,301,yes,no,unknown,may,210,1,-1,0,unknown,no,0,1,Mass Market
54,blue-collar,married,primary,-41,yes,no,unknown,may,288,1,-1,0,unknown,no,0,1,Mass Market
40,technician,married,tertiary,483,yes,no,unknown,may,168,1,-1,0,unknown,no,0,1,Mass Market
47,unknown,married,unknown,28,no,no,unknown,may,338,2,-1,0,unknown,no,0,1,Mass Market
53,unemployed,married,unknown,13,no,no,unknown,may,410,3,-1,0,unknown,no,0,1,Mass Market
46,housemaid,married,primary,965,no,no,unknown,may,177,1,-1,0,unknown,no,0,1,Mass Market
39,management,married,tertiary,378,yes,yes,unknown,may,127,2,-1,0,unknown,no,0,1,Mass Market
40,unemployed,married,secondary,219,yes,no,unknown,may,357,1,-1,0,unknown,no,0,1,Mass Market
28,blue-collar,married,primary,324,yes,no,unknown,may,175,1,-1,0,unknown,no,0,1,Mass Market
35,entrepreneur,divorced,secondary,-69,yes,no,unknown,may,300,1,-1,0,unknown,no,0,1,Mass Market
55,retired,married,secondary,0,no,yes,unknown,may,136,1,-1,0,unknown,no,0,1,Mass Market
43,technician,divorced,unknown,205,yes,no,unknown,may,1419,1,-1,0,unknown,no,0,1,Mass Market
48,blue-collar,married,primary,278,yes,no,unknown,may,125,2,-1,0,unknown,no,0,1,Mass Market
58,management,married,unknown,1065,yes,no,unknown,may,213,3,-1,0,unknown,no,0,1,Mass Market
33,management,single,tertiary,34,yes,no,unknown,may,27,1,-1,0,unknown,no,0,1,Mass Market
36,blue-collar,married,unknown,1033,no,no,unknown,may,238,2,-1,0,unknown,no,0,1,Mass Market
53,services,divorced,secondary,1467,yes,no,unknown,may,124,1,-1,0,unknown,no,0,1,Mass Market
47,blue-collar,married,primary,-12,yes,no,unknown,may,18,1,-1,0,unknown,no,0,1,Mass Market
31,services,married,secondary,388,yes,no,unknown,may,730,2,-1,0,unknown,no,0,1,Mass Market
57,entrepreneur,married,secondary,294,yes,no,unknown,may,746,2,-1,0,unknown,no,0,1,Mass Market
53,blue-collar,married,unknown,1827,no,no,unknown,may,121,1,-1,0,unknown,no,0,1,Mass Market
55,blue-collar,married,primary,627,yes,no,unknown,may,247,1,-1,0,unknown,no,0,1,Mass Market
45,blue-collar,married,primary,25,yes,no,unknown,may,40,1,-1,0,unknown,no,0,1,Mass Market
53,admin.,divorced,secondary,315,yes,no,unknown,may,181,2,-1,0,unknown,no,0,1,Mass Market
37,blue-collar,married,primary,0,yes,no,unknown,may,79,1,-1,0,unknown,no,0,1,Mass Market
44,admin.,divorced,secondary,66,yes,no,unknown,may,206,1,-1,0,unknown,no,0,1,Mass Market
49,blue-collar,divorced,primary,-9,yes,yes,unknown,may,389,1,-1,0,unknown,no,0,1,Mass Market
46,technician,married,secondary,349,yes,yes,unknown,may,127,1,-1,0,unknown,no,0,1,Mass Market
43,entrepreneur,married,unknown,100,yes,no,unknown,may,702,1,-1,0,unknown,no,0,1,Mass Market
38,admin.,married,secondary,0,no,no,unknown,may,151,1,-1,0,unknown,no,0,1,Mass Market
43,technician,married,secondary,434,yes,no,unknown,may,117,1,-1,0,unknown,no,0,1,Mass Market
49,management,married,tertiary,3237,yes,no,unknown,may,232,3,-1,0,unknown,no,0,1,Mass Market
42,management,married,unknown,275,no,no,unknown,may,408,2,-1,0,unknown,no,0,1,Mass Market
22,blue-collar,single,secondary,0,yes,no,unknown,may,179,2,-1,0,unknown,no,0,1,Mass Market
40,management,married,tertiary,207,yes,no,unknown,may,39,1,-1,0,unknown,no,0,1,Mass Market
39,blue-collar,married,secondary,483,yes,no,unknown,may,282,1,-1,0,unknown,no,0,1,Mass Market
51,services,married,secondary,2248,yes,no,unknown,may,714,2,-1,0,unknown,no,0,1,Mass Market
49,admin.,married,secondary,428,yes,no,unknown,may,50,1,-1,0,unknown,no,0,1,Mass Market
53,blue-collar,married,secondary,0,yes,yes,unknown,may,181,1,-1,0,unknown,no,0,1,Mass Market
34,services,single,secondary,0,yes,no,unknown,may,142,1,-1,0,unknown,no,0,1,Mass Market
33,technician,divorced,secondary,140,yes,no,unknown,may,227,1,-1,0,unknown,no,0,1,Mass Market
50,management,single,tertiary,297,yes,no,unknown,may,119,1,-1,0,unknown,no,0,1,Mass Market
39,blue-collar,married,primary,279,yes,no,unknown,may,361,1,-1,0,unknown,no,0,1,Mass Market
59,entrepreneur,divorced,secondary,901,yes,no,unknown,may,73,3,-1,0,unknown,no,0,1,Mass Market
30,technician,single,secondary,2573,yes,no,unknown,may,67,2,-1,0,unknown,no,0,1,Mass Market
36,services,married,secondary,143,yes,yes,unknown,may,350,1,-1,0,unknown,no,0,1,Mass Market
40,blue-collar,married,secondary,475,yes,no,unknown,may,332,2,-1,0,unknown,no,0,1,Mass Market
53,blue-collar,married,secondary,70,yes,no,unknown,may,611,2,-1,0,unknown,no,0,1,Mass Market
34,management,single,tertiary,318,yes,no,unknown,may,113,2,-1,0,unknown,no,0,1,Mass Market
37,technician,married,secondary,275,yes,no,unknown,may,132,1,-1,0,unknown,no,0,1,Mass Market
42,management,divorced,tertiary,742,yes,no,unknown,may,58,3,-1,0,unknown,no,0,1,Mass Market
41,entrepreneur,married,primary,236,yes,no,unknown,may,151,1,-1,0,unknown,no,0,1,Mass Market
30,student,single,tertiary,25,yes,no,unknown,may,89,2,-1,0,unknown,no,0,1,Mass Market
37,management,single,tertiary,600,yes,no,unknown,may,152,1,-1,0,unknown,no,0,1,Mass Market
39,admin.,divorced,secondary,-349,yes,no,unknown,may,611,2,-1,0,unknown,no,0,1,Mass Market
41,blue-collar,married,primary,183,yes,yes,unknown,may,110,2,-1,0,unknown,no,0,1,Mass Market
40,blue-collar,married,primary,0,yes,no,unknown,may,463,1,-1,0,unknown,no,0,1,Mass Market
42,management,single,tertiary,0,yes,yes,unknown,may,562,2,-1,0,unknown,yes,1,1,Mass Market
40,blue-collar,divorced,primary,0,yes,no,unknown,may,962,1,-1,0,unknown,no,0,1,Mass Market
57,technician,married,secondary,1078,yes,no,unknown,may,10,4,-1,0,unknown,no,0,1,Mass Market
56,entrepreneur,divorced,secondary,155,no,no,unknown,may,118,3,-1,0,unknown,no,0,1,Mass Market
37,admin.,married,secondary,190,yes,no,unknown,may,92,2,-1,0,unknown,no,0,1,Mass Market
